"","Rank","Points"
"SEBRLE",1,8217
"CLAY",2,8122
"KARPOV",3,8099
"BERNARD",4,8067
"YURKOV",5,8036
"WARNERS",6,8030
"ZSIVOCZKY",7,8004
"McMULLEN",8,7995
"MARTINEAU",9,7802
"HERNU",10,7733
"BARRAS",11,7708
"NOOL",12,7651
"BOURGUIGNON",13,7313
"Sebrle",1,8893
"Clay",2,8820
"Karpov",3,8725
"Macey",4,8414
"Warners",5,8343
"Zsivoczky",6,8287
"Hernu",7,8237
"Nool",8,8235
"Bernard",9,8225
"Schwarzl",10,8102
"Pogorelov",11,8084
"Schoenbeck",12,8077
"Barras",13,8067
"Smith",14,8023
"Averyanov",15,8021
"Ojaniemi",16,8006
"Smirnov",17,7993
"Qi",18,7934
"Drews",19,7926
"Parkhomenko",20,7918
"Terek",21,7893
"Gomez",22,7865
"Turi",23,7708
"Lorenzo",24,7592
"Karlivans",25,7583
"Korkizoglou",26,7573
"Uldal",27,7495
"Casarsa",28,7404
